type,n,ratio,baseline F1 score,SLOE F1 score,baseline time (s),SLOE time (s)
heart,98,0.15,0.7999999999999999,0.7999999999999999,0.003000974655151367,1.778061866760254
heart,119,0.13,0.761904761904762,0.761904761904762,0.0030012130737304688,1.1692066192626953
heart,172,0.09,0.8717948717948718,0.8717948717948718,0.003975868225097656,1.3853473663330078
